what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1546702284156
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1546702288038
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1546702289993
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1546702386404
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1546702408535
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1546702418749
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1546702420873
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1546702421552
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1546702425197
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1546702426035
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1546702426828
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1546702431215
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1546702431846
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1546702440279
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1546702442014
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1546702448497
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1546702452940
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1546702453600
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1546702463047
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1546702463097
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1546702470696
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1546702473033
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1546702475080
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1546702477635
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1546702478459
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1546702490203
