what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1546546425339
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1546546426224
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1546546427639
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1546546429569
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1546546433845
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1546546434624
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1546546438607
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1546546439492
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1546546459239
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1546546460739
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1546546505856
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1546546506962
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1546546508557
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1546546509523
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1546546516247
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1546546517895
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1546546520134
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1546546575133
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1546546578343
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1546546579293
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1546546584605
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1546546585969
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1546546587084
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1546546592360
